Title,Description,Year,Runtime,Genres,Seasons
Anatomy of a Scandal,A sexual consent scandal amongst British privileged elite and the women caught up in its wake.,2022,45,"['drama', 'thriller']",1.0
Heartstopper,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,2022,28,"['drama', 'romance']",1.0
The Pentaverate,"After influencing global events for centuries, a secret society faces a dangerous threat from within. Can a Canadian reporter save them — and the world?",2022,27,['comedy'],1.0
Our Great National Parks,"Narrated by former President Barack Obama, this stunning docuseries shines the spotlight on some of the planet's most spectacular national parks.",2022,52,['documentation'],1.0
Inventing Anna,"A journalist with a lot to prove investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New York’s social scene – and stole their money as well.",2022,68,['drama'],1.0
Pieces of Her,An act of violence rocks a sleepy Georgia town as well as the bond between a mother and her daughter.,2022,52,"['crime', 'drama', 'thriller']",1.0
Conversations with a Killer: The John Wayne Gacy Tapes,"Serial killer John Wayne Gacy was an aspiring politician, beloved local contractor, and part-time clown-for-hire who murdered 33 young men between 1972 and 1976. The majority of his victims were found buried under his house, in the quiet northwest suburbs of Chicago. Fifty years later, DNA scientists are still trying to identify all of his victims, but thanks to 60 hours of unearthed audio between Gacy and his defense team, we have fresh perspective on the narcissistic mindset of the murderer and a deeper understanding of how he operated for so long with impunity.",2022,61,"['crime', 'documentation']",1.0
Pacific Rim: The Black,"After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, seedy characters and chance allies.",2021,24,"['animation', 'action', 'scifi']",2.0
Vikings: Valhalla,"In this sequel to ""Vikings,"" a hundred years have passed and a new generation of legendary heroes arises to forge its own destiny — and make history.",2022,51,"['war', 'action', 'drama', 'history', 'romance']",1.0
Arcane,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",2021,41,"['action', 'scifi', 'drama', 'fantasy', 'animation']",1.0
Hold Tight,"When a young man goes missing soon after his friend dies, life in a tight-knit, affluent Warsaw suburb slowly unravels, exposing secrets and lies.",2022,47,"['crime', 'drama', 'thriller']",1.0
Bad Vegan: Fame. Fraud. Fugitives.,"After marrying a mysterious man who claimed he could make her dog immortal, a celebrated vegan restaurateur finds her life veering off the rails.",2022,52,"['crime', 'documentation']",1.0
Midnight Mass,"An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest.",2021,64,"['action', 'drama', 'fantasy', 'horror', 'scifi']",1.0
Murderville,"Welcome to Murderville, a new series starring Will Arnett as a detective who, in every episode, has to solve a murder with a new celebrity guest star as his partner.  The catch is: the guest star is never given a script so they have to improvise their way through the case!",2022,34,"['crime', 'comedy']",1.0
Clark,"This is the incredible story behind Sweden's most notorious gangster, Clark Olofsson, whose infamous crimes gave rise to the term ""Stockholm Syndrome"".",2022,61,"['comedy', 'crime', 'drama', 'thriller', 'action']",1.0
The Ultimatum: Marry or Move On,Get hitched or call it quits? Couples put their love to the test — while shacking up with other potential matches — in a provocative reality series.,2022,50,['reality'],1.0
Hard Cell,A documentary crew follows the inmates and staff of HMP Woldsley while Catherine Tate portrays multiple characters to capture the penal system at its brutal humorous best.,2022,26,"['comedy', 'documentation', 'sport']",1.0
The Woman in the House Across the Street from the Girl in the Window,"For Anna, every day is the same. She sits with her wine, staring out the window, watching life go by without her. But when a handsome neighbor moves in across the street, Anna starts to see a light at the end of the tunnel. That is until she witnesses a gruesome murder… Or did she?",2022,26,"['crime', 'comedy', 'drama', 'thriller']",1.0
Archive 81,An archivist takes a job restoring damaged videotapes and gets pulled into the vortex of a mystery involving the missing director and a demonic cult.,2022,54,"['scifi', 'drama', 'horror', 'thriller']",1.0
Jimmy Savile: A British Horror Story,"Jimmy Savile was one of the United Kingdom’s most beloved TV personalities. Shortly after his death in 2011, an investigation prompted more than 450 horrific allegations of sexual assault and abuse, with victims as young as 5.",2022,85,"['crime', 'documentation']",1.0
Squid Game,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.",2021,54,"['action', 'drama', 'thriller']",2.0
Yakamoz S-245,"After disaster strikes the Earth, a marine biologist on a research mission in a submarine must fight to advance the process into a conspiracy.",2022,48,"['scifi', 'action', 'drama', 'thriller']",1.0
Welcome To Eden,"""Are you happy? With this question Zoa and four young, attractive and social media active boys and girls are invited to the most exclusive party in history, set in a secret island and organized by the brand of a new drink. What starts as an exciting adventure will soon turn into the trip of their lives. But paradise is not really what it seems... Welcome to Eden.""",2022,41,"['drama', 'action', 'thriller']",1.0
Stay Close,"The lives of a photojournalist, a soccer mom and a homicide detective are disturbed by a terrible event from the past.",2021,47,"['crime', 'drama', 'thriller']",1.0
Maid,"Inspired by the powerful New York Times best-selling memoir Maid: Hard Work, Low Pay, and a Mother's Will to Survive by Stephanie Land, Maid will chronicle a single mother who turns to housekeeping to - barely - make ends meet as she battles against poverty, homelessness, and bureaucracy.",2021,54,"['drama', 'comedy']",1.0
The Marked Heart,This new Colombian telenovela is about a man who has to watch his wife die and have her heart extracted to give to another woman. He’s out for revenge in the world of organ trafficking.,2022,44,"['thriller', 'drama']",2.0
Meltdown: Three Mile Island,"Insiders recount the events, controversies and lingering effects of the accident at the Three Mile Island nuclear power plant in Pennsylvania.",2022,44,"['documentation', 'history']",1.0
